"Participant_ID","Accuracy","AccuracyAtLeast75","AccuracyAtLeast90","Age","Sex","Education","Trial","Cue","Flanker","RT","Visual_Acuity"
2,1,1,1,72,"Female",16,85,"NOCUE","CONGRUENT",818,0.9
2,1,1,1,72,"Female",16,20,"DOUBLE","CONGRUENT",762,0.9
2,1,1,1,72,"Female",16,36,"NOCUE","CONGRUENT",818,0.9
2,1,1,1,72,"Female",16,4,"SPATIAL","CONGRUENT",688,0.9
2,1,1,1,72,"Female",16,75,"DOUBLE","INCONGRUENT",879,0.9
2,1,1,1,72,"Female",16,81,"DOUBLE","INCONGRUENT",832,0.9
2,1,1,1,72,"Female",16,43,"DOUBLE","INCONGRUENT",918,0.9
2,1,1,1,72,"Female",16,65,"CENTRAL","CONGRUENT",771,0.9
2,1,1,1,72,"Female",16,37,"SPATIAL","INCONGRUENT",774,0.9
2,1,1,1,72,"Female",16,22,"SPATIAL","CONGRUENT",891,0.9
2,1,1,1,72,"Female",16,44,"SPATIAL","INCONGRUENT",897,0.9
2,1,1,1,72,"Female",16,74,"DOUBLE","INCONGRUENT",874,0.9
2,1,1,1,72,"Female",16,9,"SPATIAL","CONGRUENT",699,0.9
2,1,1,1,72,"Female",16,52,"NOCUE","CONGRUENT",679,0.9
2,1,1,1,72,"Female",16,2,"DOUBLE","CONGRUENT",963,0.9
2,1,1,1,72,"Female",16,60,"SPATIAL","CONGRUENT",818,0.9
2,1,1,1,72,"Female",16,86,"NOCUE","CONGRUENT",759,0.9
2,1,1,1,72,"Female",16,70,"CENTRAL","CONGRUENT",766,0.9
2,1,1,1,72,"Female",16,10,"NOCUE","INCONGRUENT",771,0.9
2,1,1,1,72,"Female",16,51,"SPATIAL","INCONGRUENT",834,0.9
2,1,1,1,72,"Female",16,94,"SPATIAL","INCONGRUENT",851,0.9
2,1,1,1,72,"Female",16,54,"DOUBLE","CONGRUENT",1034,0.9
2,1,1,1,72,"Female",16,17,"SPATIAL","CONGRUENT",746,0.9
2,1,1,1,72,"Female",16,34,"CENTRAL","CONGRUENT",882,0.9
2,1,1,1,72,"Female",16,80,"CENTRAL","INCONGRUENT",749,0.9
2,1,1,1,72,"Female",16,67,"DOUBLE","INCONGRUENT",826,0.9
2,1,1,1,72,"Female",16,29,"NOCUE","CONGRUENT",1036,0.9
2,1,1,1,72,"Female",16,83,"CENTRAL","CONGRUENT",680,0.9
2,1,1,1,72,"Female",16,11,"CENTRAL","CONGRUENT",680,0.9
2,1,1,1,72,"Female",16,77,"NOCUE","CONGRUENT",670,0.9
